GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage,pti.gyak,Simple,0,17,0,3,0,5,0,4,0,2
coverage,pti.gyak,Complex,0,26,0,6,0,8,0,5,0,2
