GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator,pti.gyak,Calculator,32,262,8,33,4,46,8,20,0,5
calculator,pti.gyak,Operation,0,103,0,0,0,13,0,3,0,3
